회사명,거래소코드,회계년도,감사의견코드
(유)신합상사,096306,2019/12,NA
(유)신합상사,096306,2020/12,QS
(유)신합상사,096306,2021/12,UQ
(유)신합상사,096306,2022/12,UQ
(유)신흥개발,097040,2019/12,NA
(유)신흥개발,097040,2020/12,DS
(유)실릭스,094862,2019/12,NA
(유)실릭스,094862,2020/12,UQ
(유)실릭스,094862,2021/12,UQ
(유)실릭스,094862,2022/12,UQ
(유)아웃백스테이크하우스코리아,041907,2019/12,NA
(유)아웃백스테이크하우스코리아,041907,2020/12,UQ
(유)아웃백스테이크하우스코리아,041907,2021/12,UQ
(유)아웃백스테이크하우스코리아,041907,2022/12,UQ
(유)에스아이지,058564,2012/12,UQ
(유)에스아이지,058564,2013/12,UQ
(유)에스아이지,058564,2014/12,UQ
(유)에스아이지,058564,2015/12,UQ
(유)에스아이지,058564,2019/12,NA
(유)에스아이지,058564,2020/12,UQ
(유)에스아이지,058564,2021/12,UQ
(유)에스아이지,058564,2022/12,UQ
(유)에스케이씨에보닉페록사이드코리아,093338,2019/12,NA
(유)에스케이씨에보닉페록사이드코리아,093338,2020/12,UQ
(유)에스케이씨에보닉페록사이드코리아,093338,2021/12,UQ
(유)에스케이씨에보닉페록사이드코리아,093338,2022/12,UQ
(주)시냅스엠,073751,2014/12,NA
(주)시냅스엠,073751,2015/12,UQ
(주)시너지미디어,074202,2014/12,NA
(주)시너지미디어,074202,2015/12,QS
(주)시너지미디어,074202,2016/12,UQ
(주)시너지미디어,074202,2019/12,UQ
(주)시너지밸류제2호,100245,2020/12,NA
(주)시너지밸류제2호,100245,2021/12,UQ
(주)시너지밸류제2호,100245,2022/12,UQ
(주)시너지타워,100883,2020/12,NA
(주)시너지타워,100883,2021/12,UQ
(주)시너지타워,100883,2022/12,UQ
(주)시네마서비스,041102,2012/12,UQ
(주)시네마서비스,041102,2013/12,UQ
(주)시네마서비스,041102,2014/12,UQ
(주)시네마서비스,041102,2015/12,NA
(주)시네마서비스,041102,2016/12,UQ
(주)시네코아,057760,2012/12,UQ
(주)시네코아,057760,2013/12,UQ
(주)시네코아,057760,2014/12,UQ
(주)시네코아,057760,2015/12,UQ
(주)시네코아,057760,2016/12,UQ
(주)시네코아,057760,2017/12,UQ
(주)시네코아,057760,2018/12,UQ
(주)시네코아,057760,2019/12,UQ
(주)시네코아,057760,2021/12,NA
(주)시네코아,057760,2022/12,UQ
(주)시노텍스,052553,2012/12,UQ
(주)시노텍스,052553,2019/12,QS
(주)시노텍스,052553,2020/12,UQ
(주)시노텍스,052553,2021/12,UQ
(주)시노텍스,052553,2022/12,UQ
(주)시노트란스코리아쉬핑,041877,2012/12,QG
(주)시노트란스코리아쉬핑,041877,2013/12,QG
(주)시노트란스코리아쉬핑,041877,2014/12,QG
(주)시대고시기획시대교육,095636,2019/12,NA
(주)시대고시기획시대교육,095636,2020/12,QS
(주)시대고시기획시대교육,095636,2021/12,UQ
(주)시대고시기획시대교육,095636,2022/12,UQ
(주)시대디자인특장,104942,2021/12,NA
(주)시대디자인특장,104942,2022/12,QS
(주)시대전기,064156,2012/12,QS
(주)시대전기,064156,2013/12,UQ
(주)시대전기,064156,2014/12,UQ
(주)시대전기,064156,2015/12,UQ
(주)시도항공여행사,053489,2012/12,DS
(주)시도항공여행사,053489,2013/12,DS
(주)시드물,073117,2014/12,NA
(주)시드물,073117,2015/12,QS
(주)시드물,073117,2016/12,UQ
(주)시드물,073117,2017/12,UQ
(주)시드물,073117,2018/12,UQ
(주)시드물,073117,2019/12,UQ
(주)시드물,073117,2020/12,UQ
(주)시드물,073117,2021/12,UQ
(주)시드물,073117,2022/12,UQ
(주)시리,088071,2017/12,NA
(주)시리,088071,2018/12,UQ
(주)시리,088071,2019/12,UQ
(주)시리,088071,2020/12,UQ
(주)시리,088071,2021/12,UQ
(주)시몬느,015817,2012/06,UQ
(주)시몬느,015817,2013/06,UQ
(주)시몬느,015817,2014/06,UQ
(주)시몬느,015817,2015/06,UQ
(주)시몬느,015817,2016/06,UQ
(주)시몬느,015817,2017/06,UQ
(주)시몬느,015817,2018/06,UQ
(주)시몬느,015817,2019/06,UQ
(주)시몬느,015817,2020/06,UQ
(주)시몬느,015817,2021/06,UQ
(주)시몬느,015817,2022/06,UQ
(주)시무인텔,070296,2013/12,NA
(주)시무인텔,070296,2014/12,QS
(주)시무인텔,070296,2015/12,UQ
(주)시무인텔,070296,2016/12,UQ
(주)시무인텔,070296,2017/12,UQ
(주)시무인텔,070296,2018/12,UQ
(주)시무인텔,070296,2019/12,UQ
(주)시무인텔,070296,2020/12,UQ
(주)시무인텔,070296,2021/12,AG
(주)시무인텔,070296,2022/12,AG
(주)시뮬라인,042695,2012/12,UQ
(주)시뮬라인,042695,2013/12,UQ
(주)시뮬라인,042695,2014/12,UQ
(주)시뮬라인,042695,2015/12,UQ
(주)시뮬레이션테크,062421,2015/12,DS
(주)시뮬레이션테크,062421,2019/12,NA
(주)시뮬레이션테크,062421,2020/12,QS
(주)시벨코코리아,011886,2012/12,UQ
(주)시벨코코리아,011886,2013/12,UQ
(주)시벨코코리아,011886,2014/12,UQ
(주)시벨코코리아,011886,2015/12,UQ
(주)시벨코코리아,011886,2016/12,UQ
(주)시벨코코리아,011886,2017/12,UQ
(주)시벨코코리아,011886,2018/12,UQ
(주)시벨코코리아,011886,2019/12,UQ
(주)시벨코코리아,011886,2020/12,UQ
(주)시벨코코리아,011886,2021/12,UQ
(주)시벨코코리아,011886,2022/12,UQ
(주)시사아카데미,050339,2012/12,UQ
(주)시사아카데미,050339,2013/12,UQ
(주)시사아카데미,050339,2014/12,UQ
(주)시사아카데미,050339,2015/12,UQ
(주)시사아카데미,050339,2016/12,UQ
(주)시사아카데미,050339,2017/12,UQ
(주)시사아카데미,050339,2018/12,UQ
(주)시사아카데미,050339,2019/12,UQ
(주)시사아카데미,050339,2020/12,UQ
(주)시사아카데미,050339,2021/12,UQ
(주)시사아카데미,050339,2022/12,UQ
(주)시사티앤이,045971,2012/12,UQ
(주)시사티앤이,045971,2013/12,UQ
(주)시사티앤이,045971,2014/12,UQ
(주)시사티앤이,045971,2015/12,UQ
(주)시사티앤이,045971,2016/12,UQ
(주)시사티앤이,045971,2017/12,UQ
(주)시사티앤이,045971,2018/12,UQ
(주)시선인터내셔널,015824,2012/12,UQ
(주)시선인터내셔널,015824,2013/12,UQ
(주)시선인터내셔널,015824,2014/12,UQ
(주)시선인터내셔널,015824,2015/12,UQ
(주)시선인터내셔널,015824,2016/12,UQ
(주)시선인터내셔널,015824,2017/12,UQ
(주)시선인터내셔널,015824,2018/12,UQ
(주)시선인터내셔널,015824,2019/12,UQ
(주)시선인터내셔널,015824,2020/12,UQ
(주)시선인터내셔널,015824,2021/12,UQ
(주)시선인터내셔널,015824,2022/12,UQ
(주)시스원,019230,2012/12,UQ
(주)시스원,019230,2013/12,UQ
(주)시스원,019230,2014/12,UQ
(주)시스원,019230,2015/12,UQ
(주)시스원,019230,2016/12,UQ
(주)시스원,019230,2017/12,UQ
(주)시스원,019230,2018/12,UQ
(주)시스원,019230,2019/12,UQ
(주)시스원,019230,2020/12,UQ
(주)시스원,019230,2021/12,UQ
(주)시스원,019230,2022/12,UQ
(주)시스코,069521,2013/12,NA
(주)시스코,069521,2014/12,QS
(주)시스코,069521,2015/12,UQ
(주)시스코,069521,2016/12,UQ
(주)시스코,069521,2017/12,DS
(주)시스코투자개발,048959,2012/12,UQ
(주)시스코투자개발,048959,2013/12,UQ
(주)시스코투자개발,048959,2014/12,UQ
(주)시스코투자개발,048959,2015/12,UQ
(주)시스코투자개발,048959,2016/12,UQ
(주)시스코피엔시,078952,2015/12,NA
(주)시스코피엔시,078952,2016/12,QS
(주)시스코피엔시,078952,2017/12,NA
(주)시스코피엔시,078952,2018/12,DU
(주)시스콘,098379,2021/12,UQ
(주)시스콘,098379,2022/12,UQ
(주)시스타,047900,2012/12,QS
(주)시스타,047900,2021/12,NA
(주)시스타,047900,2022/12,QS
(주)시스템산업,097854,2020/12,NA
(주)시스템산업,097854,2021/12,QS
(주)시스템산업,097854,2022/12,UQ
(주)시스파워,069520,2013/12,NA
(주)시스파워,069520,2014/12,UQ
(주)시아플랜건축사사무소,064386,2012/12,UQ
(주)시아플랜건축사사무소,064386,2013/12,UQ
(주)시아플랜건축사사무소,064386,2014/12,UQ
(주)시아플랜건축사사무소,064386,2015/12,NA
(주)시아플랜건축사사무소,064386,2016/12,UQ
(주)시아플랜건축사사무소,064386,2017/12,UQ
(주)시아플랜건축사사무소,064386,2018/12,UQ
(주)시아플랜건축사사무소,064386,2019/12,UQ
(주)시아플랜건축사사무소,064386,2020/12,UQ
(주)시아플랜건축사사무소,064386,2021/12,UQ
(주)시아플랜건축사사무소,064386,2022/12,UQ
