iter	Logloss
0	0.3494531649
1	0.2810762048
2	0.2653018179
3	0.2591375901
4	0.2544232147
5	0.2507426765
6	0.2486414577
7	0.2455109843
8	0.2435656342
9	0.2397402258
10	0.2383230259
11	0.2322697155
12	0.2307383153
13	0.2293139808
14	0.2281769255
15	0.2271762993
16	0.2259946536
17	0.2249254462
18	0.223990883
19	0.2228852758
20	0.2201157808
21	0.2192196291
22	0.2180533553
23	0.2171937451
24	0.2163934671
25	0.2157578307
26	0.2150466164
27	0.2133537727
28	0.2126531957
29	0.2120891932
30	0.2113635842
31	0.2109200073
32	0.2088086045
33	0.208151572
34	0.2069597651
35	0.2062645954
36	0.2053820895
37	0.2047062576
38	0.2042937808
39	0.2034475635
40	0.2029060511
41	0.2021801044
42	0.201616047
43	0.2007342122
44	0.2001159857
45	0.1994016902
46	0.1987302504
47	0.1982147797
48	0.197817426
49	0.1974619172
50	0.196578943
51	0.1953131885
52	0.1949863986
53	0.1943170336
54	0.1938450735
55	0.1931201863
56	0.1926472682
57	0.1922660893
58	0.1915733425
59	0.191223922
60	0.1905622104
61	0.1900893182
62	0.1896789929
63	0.1891976489
64	0.1887310256
65	0.1880643769
66	0.1875956878
67	0.1871175999
68	0.1861353636
69	0.1857526045
70	0.1852031735
71	0.1845784787
72	0.1839623222
73	0.1835540183
74	0.1829895527
75	0.1826758617
76	0.1822818109
77	0.1816967576
78	0.1811969045
79	0.1806331374
80	0.1803832831
81	0.1796499299
82	0.1789742384
83	0.178552254
84	0.1781386419
85	0.1776513869
86	0.1772444898
87	0.1763059007
88	0.1754173138
89	0.1749245384
90	0.1746008524
91	0.1741230842
92	0.173712909
93	0.1734020892
94	0.1729876739
95	0.1727935656
96	0.1723178011
97	0.1718180515
98	0.1713743634
99	0.1710740853
