iter	Passed	Remaining
0	53	5292
1	96	4717
2	117	3812
3	137	3297
4	157	2988
5	176	2769
6	196	2609
7	216	2494
8	235	2384
9	255	2302
10	275	2228
11	294	2157
12	313	2099
13	333	2046
14	351	1993
15	370	1945
16	389	1903
17	408	1860
18	426	1816
19	444	1778
20	462	1741
21	480	1704
22	499	1670
23	516	1636
24	535	1605
25	552	1571
26	570	1542
27	589	1515
28	610	1495
29	627	1465
30	645	1435
31	662	1408
32	680	1382
33	698	1356
34	718	1334
35	735	1308
36	754	1284
37	772	1260
38	790	1236
39	809	1214
40	827	1190
41	845	1167
42	863	1144
43	881	1121
44	899	1099
45	917	1077
46	936	1055
47	953	1033
48	971	1010
49	988	988
50	1008	968
51	1027	948
52	1044	926
53	1063	905
54	1080	884
55	1099	863
56	1117	842
57	1135	821
58	1153	801
59	1171	780
60	1190	760
61	1210	742
62	1229	722
63	1248	702
64	1265	681
65	1284	661
66	1302	641
67	1319	620
68	1337	600
69	1355	580
70	1374	561
71	1392	541
72	1410	521
73	1428	501
74	1446	482
75	1464	462
76	1483	443
77	1502	423
78	1520	404
79	1538	384
80	1556	365
81	1574	345
82	1591	326
83	1609	306
84	1629	287
85	1648	268
86	1667	249
87	1685	229
88	1704	210
89	1724	191
90	1742	172
91	1760	153
92	1778	133
93	1795	114
94	1813	95
95	1831	76
96	1849	57
97	1868	38
98	1886	19
99	1903	0
