iter	Passed	Remaining
0	4932	2461312
1	10653	2652603
2	14893	2467402
3	19679	2440224
4	24366	2412281
5	28006	2305860
6	33077	2329597
7	38194	2348959
8	38209	2084534
9	39711	1945855
10	43149	1918208
11	47272	1922400
12	50843	1904679
13	54793	1902117
14	56223	1817898
15	60527	1830959
16	65079	1849018
17	67691	1812624
18	72298	1830283
19	77329	1855896
20	78784	1797029
21	82738	1797682
22	82824	1717713
23	87808	1741541
24	92409	1755783
25	96693	1762795
26	100735	1764729
27	104916	1768594
28	109396	1776750
29	110143	1725578
30	116109	1756622
31	119091	1741708
32	122102	1727929
33	125407	1718827
34	128329	1704943
35	131121	1690005
36	134177	1679037
37	137488	1671565
38	139217	1645625
39	140449	1615166
40	142993	1600824
41	143641	1566374
42	146748	1559633
43	149062	1544825
44	151510	1531939
45	154108	1520986
46	157134	1514504
47	157704	1485049
48	160970	1481588
49	164465	1480188
50	167532	1474944
51	169791	1462819
52	173708	1465053
53	174897	1444527
54	178301	1442623
55	180780	1433329
56	184075	1430622
57	185053	1410236
58	186962	1397465
59	190476	1396828
60	194130	1397101
61	197258	1393536
62	200501	1390780
63	203942	1389358
64	205917	1378064
65	209267	1376092
66	213385	1379046
67	218405	1387518
68	221825	1385605
69	225061	1382517
70	227092	1372153
71	231220	1374478
72	234666	1372635
73	238616	1373657
74	242685	1375217
75	243057	1356006
76	246938	1356557
77	249464	1349667
78	252815	1347281
79	257084	1349694
80	261448	1352429
81	262623	1338740
82	266871	1340788
83	267053	1322549
84	267448	1305776
85	271077	1304953
86	275392	1307325
87	278739	1305009
88	282471	1304448
89	286254	1304049
90	290854	1307247
91	294871	1307688
92	298289	1305415
93	299790	1294838
94	304604	1298576
95	305270	1284681
96	308786	1282894
97	313287	1285119
98	317915	1287717
99	318175	1272703
100	320950	1267912
101	321705	1255282
102	325458	1254437
103	328469	1250710
104	331690	1247788
105	334654	1243904
106	335039	1230564
107	335488	1217697
108	335491	1203461
109	338860	1201415
110	340212	1192277
111	341040	1181460
112	343484	1176359
113	346149	1172051
114	348629	1167151
115	349877	1158216
116	352743	1154708
117	354384	1147244
118	356682	1141982
119	359359	1137972
120	362323	1134882
121	365181	1131463
122	366261	1122605
123	369304	1119827
124	372583	1117751
125	375438	1114396
126	378294	1111053
127	380769	1106612
128	382456	1099933
129	385412	1096943
130	387730	1092156
131	390981	1090009
132	393647	1086230
133	397904	1086814
134	398599	1077694
135	401741	1075248
136	403025	1067869
137	406936	1067470
138	412439	1071155
139	416889	1072000
140	420836	1071491
141	424850	1071101
142	428486	1069719
143	432418	1069034
144	434953	1064886
145	436133	1057474
146	439591	1055618
147	442917	1053425
148	447222	1053524
149	450949	1052216
150	452789	1046513
151	457235	1046827
152	457242	1037014
153	461364	1036573
154	462130	1028613
155	466046	1027691
156	471505	1030104
157	474979	1028120
158	479609	1028596
159	484473	1029506
160	488089	1027715
161	493537	1029726
162	500176	1034106
163	506355	1037411
164	512511	1040554
165	517414	1041062
166	522933	1042736
167	527746	1042926
168	532259	1042473
169	532572	1033818
170	535645	1030569
171	537485	1024972
172	541590	1023699
173	543673	1018606
174	547825	1017389
175	552809	1017672
176	557891	1018072
177	561768	1016232
178	565976	1014962
179	568767	1011142
180	574174	1011942
181	578331	1010490
182	582718	1009408
183	587003	1008114
184	588487	1002019
185	592894	1000907
186	597185	999567
187	601212	997757
188	604775	995160
189	609256	994050
190	612213	990439
191	616101	988328
192	619459	985357
193	623906	984099
194	626172	979397
195	629931	977036
196	630843	970282
197	635552	969377
198	639026	966567
199	642663	963995
200	646593	961848
201	649775	958579
202	653853	956622
203	656946	953216
204	660717	950787
205	662426	945404
206	666393	943252
207	670781	941674
208	670978	934233
209	675640	933027
210	681527	933467
211	687445	933887
212	691972	932376
213	695969	930127
214	700186	928154
215	704242	925948
216	708205	923604
217	712360	921493
218	716002	918706
219	721321	918046
220	724844	915075
221	726720	910036
222	730219	907044
223	734317	904783
224	738236	902289
225	739827	896959
226	744453	895311
227	748746	893241
228	752599	890630
229	756364	887906
230	756788	881282
231	760788	878841
232	764679	876263
233	768736	873863
234	769800	868073
235	773131	864858
236	777646	862957
237	781208	859985
238	784284	856477
239	785598	851064
240	788960	847887
241	792833	845251
242	797873	843841
243	801729	841158
244	803724	836530
245	806720	832954
246	810692	830385
247	813642	826766
248	816042	822597
249	820345	820345
250	824296	817728
251	828071	814927
252	830366	810673
253	831085	804910
254	834815	802077
255	838398	799098
256	842365	796478
257	846247	793767
258	846449	787622
259	850938	785482
260	854293	782283
261	858906	780227
262	863137	777807
263	866532	774627
264	869851	771378
265	873443	768367
266	874120	762809
267	876675	758912
268	879246	755040
269	881978	751314
270	884050	747039
271	885966	742648
272	889918	739968
273	891712	735499
274	895016	732285
275	896321	727449
276	898822	723600
277	899858	718591
278	902658	715008
279	905802	711701
280	908175	707794
281	910406	703789
282	912959	700043
283	915852	696563
284	918260	692722
285	920731	688938
286	922221	684436
287	923834	680044
288	925550	675747
289	925956	670520
290	927829	666379
291	928383	661314
292	930036	657056
293	930040	651661
294	931811	647529
295	932453	642636
296	933825	638271
297	935253	633963
298	936823	629770
299	938212	625475
300	939398	621064
301	940723	616766
302	941837	612349
303	942839	607883
304	942941	602864
305	943540	598192
306	944553	593806
307	945675	589511
308	946714	585186
309	947878	580957
310	948340	576322
311	949136	571915
312	950083	567621
313	950625	563109
314	951269	558681
315	951921	554283
316	952519	549877
317	953214	545550
318	953833	541203
319	954064	536661
320	954747	532398
321	955346	528110
322	955968	523859
323	956473	519565
324	956935	515273
325	957424	511017
326	957657	506650
327	958228	502485
328	958718	498300
329	959253	494160
330	959346	489817
331	959606	485583
332	960029	481456
333	960469	477359
334	960939	473298
335	960956	469038
336	961389	465004
337	961450	460813
338	961457	456621
339	961891	452655
340	962350	448720
341	962559	444691
342	962640	440625
343	963130	436768
344	963365	432816
345	963804	428976
346	964255	425161
347	964762	421390
348	964916	417485
349	964962	413555
350	965471	409843
351	965997	406158
352	966228	402366
353	966687	398690
354	967121	395021
355	967599	391388
356	968086	387776
357	968563	384178
358	969024	380591
359	969518	377034
360	969598	373335
361	970070	369805
362	970518	366283
363	970971	362780
364	971488	359317
365	971934	355844
366	972436	352408
367	972941	348989
368	973394	345568
369	973835	342158
370	974281	338766
371	974726	335389
372	975145	332019
373	975379	328603
374	975853	325284
375	975929	321849
376	976369	318550
377	976835	315274
378	977286	312009
379	977741	308760
380	978188	305523
381	978626	302298
382	978667	298966
383	978895	295707
384	979351	292533
385	979471	289274
386	979929	286129
387	979932	282867
388	980048	279654
389	980517	276556
390	980532	273345
391	980980	270270
392	981043	267103
393	981487	264055
394	981926	261018
395	982143	257936
396	982601	254931
397	983098	251949
398	983545	248967
399	983983	245995
400	984437	243040
401	984904	240101
402	985365	237172
403	985801	234249
404	986256	231344
405	986678	228442
406	986735	225470
407	987174	222598
408	987631	219741
409	988062	216891
410	988524	214059
411	988964	211235
412	989388	208418
413	989824	205615
414	990285	202829
415	990688	200042
416	991132	197275
417	991384	194482
418	991844	191740
419	992233	188996
420	992604	186260
421	992955	183532
422	993292	180812
423	993628	178103
424	993971	175406
425	994300	172718
426	994635	170043
427	994642	167323
428	994985	164671
429	995321	162029
430	995634	159393
431	995942	156768
432	996249	154154
433	996543	151548
434	996830	148951
435	997118	146366
436	997139	143752
437	997420	141187
438	997708	138633
439	997995	136090
440	998278	133556
441	998564	131033
442	998858	128521
443	999166	126021
444	999471	123530
445	999774	121048
446	1000075	118577
447	1000374	116114
448	1000450	113636
449	1000759	111195
450	1001062	108762
451	1001365	106339
452	1001671	103926
453	1001978	101522
454	1001999	99098
455	1002298	96713
456	1002373	94315
457	1002394	91922
458	1002718	89567
459	1003050	87221
460	1003213	84870
461	1003539	82542
462	1003888	80224
463	1004236	77914
464	1004543	75610
465	1004869	73316
466	1005168	71029
467	1005473	68750
468	1005631	66470
469	1005924	64207
470	1006221	61954
471	1006535	59709
472	1006840	57472
473	1006990	55235
474	1007318	53016
475	1007617	50804
476	1007929	48600
477	1008220	46403
478	1008535	44215
479	1008556	42023
480	1008855	39850
481	1009160	37686
482	1009484	35530
483	1009787	33381
484	1010089	31239
485	1010418	29106
486	1010721	26980
487	1010870	24857
488	1011164	22746
489	1011472	20642
490	1011791	18546
491	1012081	16456
492	1012374	14374
493	1012693	12299
494	1012771	10230
495	1013079	8169
496	1013371	6116
497	1013447	4070
498	1013484	2031
499	1013775	0
06	9938
496	1232836	7441
497	1233251	4952
498	1233723	2472
499	1234139	0
