회사명,사업연도,감사인,감사의견,감사보고서 특기사항,강조사항 등,핵심감사사항
3S,제30기(당기),신한회계법인,적정,-,,
3S,제29기(전기),신한회계법인,적정,-,,
3S,제28기(전전기),신한회계법인,적정,-,,
AJ네트웍스,제21기(당기),삼일회계법인,적정,-,(*1),"1. 렌탈수익의 발생사실(*2)
2. 영업권을 포함하는 현금창출단위의 손상검사(*3)"
AJ네트웍스,제20기(전기),삼정회계법인,적정,-,,1. 종속기업투자주식 손상검사
AJ네트웍스,제19기(전전기),삼정회계법인,적정,-,,
AK홀딩스,제51기,한영회계법인,적정,-,,"1. 영업권에 대한 손상평가
2. 항공운송업의 현금흐름창출단위 손상검사
3. 종속기업투자주식에 대한 손상평가"
AK홀딩스,제50기(전기),한영회계법인,적정,-,,"1. 영업권에 대한 손상평가
2. 사업결합
3. 종속기업투자주식에 대한 손상평가"
AK홀딩스,제49기(전전기),한영회계법인,적정,-,,
APS,제25기(당기),한울회계법인,적정,-,,(연결재무제표)- 관계기업투자자산에 대한 손상평가(별도재무제표)- 종속기업및관계기업투자자산에 대한 손상평가
APS,제24기(전기),삼정회계법인,적정,-,,(연결재무제표)- 관계기업투자자산에 대한 손상평가(별도재무제표)- 종속기업및관계기업투자자산에 대한 손상평가
APS,제23기(전전기),삼정회계법인,적정,-,,(연결재무제표)- 관계기업투자자산에 대한 손상평가- 개정 회계기준에 대한 회계처리 적절성(별도재무제표)- 종속기업및관계기업투자자산에 대한 손상평가- 개정 회계기준에 대한 회계처리 적절성
AP시스템,제4기(당기),삼일회계법인,적정,-,,장비 수익인식 발생사실
AP시스템,제3기(전기),삼일회계법인,적정,-,,장비 수익인식 발생사실
AP시스템,제2기(전전기),삼일회계법인,적정,-,,해당사항없음
AP위성,제10기(당기),태성회계법인,적정,-,,
AP위성,제9기(당기),태성회계법인,적정,-,,
AP위성,제8기(당기),태성회계법인,적정,-,,
